Model,Occupation,Category,Term,chi2_p_gender,cramers_v_gender,chi2_p_race,cramers_v_race,sig_gender,sig_race
sd35,teacher,Medium,illustration,0.016395,0.3098,0.171797,0.2887,†,
sd35,teacher,Medium,digital art,0.07597,0.2291,0.284571,0.2515,,
sd35,teacher,Medium,matte painting,3.2e-05,0.5367,0.000256,0.5648,†,†
sd35,teacher,Medium,oil painting,0.07597,0.2291,0.320022,0.2417,,
sd35,teacher,Movement,fantasy,0.262228,0.1447,0.912571,0.0939,,
sd35,teacher,Movement,cyberpunk,0.07597,0.2291,0.333198,0.2382,,
sd35,teacher,Movement,anime,1.0,0.0,0.000654,0.5348,,†
sd35,teacher,Movement,sci-fi,0.016395,0.3098,0.171797,0.2887,†,
sd35,teacher,Movement,futuristic,3.2e-05,0.5367,0.245984,0.2629,†,
sd35,teacher,Trending,trending on artstation,0.876885,0.02,0.301325,0.2468,,
sd35,teacher,Trending,cgsociety,1.0,0.0,0.074304,0.3397,,
sd35,teacher,Trending,deviantart,0.002675,0.3877,0.320022,0.2417,†,
sd35,teacher,Trending,pixiv,0.665006,0.0559,0.000654,0.5348,,†
sd35,teacher,Trending,hearthstone,0.016395,0.3098,0.614935,0.1732,†,
sd35,teacher,Atmosphere,elegant,1.0,0.0,0.515858,0.195,,
sd35,teacher,Atmosphere,cinematic,0.262228,0.1447,0.533108,0.1912,,
sd35,teacher,Atmosphere,dramatic lighting,0.016395,0.3098,0.003831,0.4727,†,†
sd35,teacher,Atmosphere,epic,0.000334,0.4631,0.277716,0.2534,†,
sd35,teacher,Atmosphere,volumetric lighting,0.000334,0.4631,0.597294,0.1771,†,
midjourney,CEO,Artist,artgerm,0.0,0.6797,0.226314,0.2692,†,
midjourney,CEO,Artist,greg rutkowski,1.0,0.0,0.301555,0.2467,,
midjourney,CEO,Artist,wlop,1.0,0.0,0.549843,0.1875,,
midjourney,CEO,Artist,alphonse mucha,1.0,0.0,0.000777,0.5292,,†
midjourney,CEO,Artist,rossdraws,0.74773,0.0415,0.013331,0.4227,,†
midjourney,CEO,Medium,digital painting,1.0,0.0,0.00059,0.5382,,†
midjourney,CEO,Medium,illustration,1.0,0.0,0.493635,0.2,,
midjourney,CEO,Medium,digital art,1.0,0.0,0.422735,0.2162,,
midjourney,CEO,Medium,matte painting,1.0,0.0,0.014511,0.4191,,†
midjourney,CEO,Medium,oil painting,1.0,0.0,0.006159,0.4544,,†
midjourney,CEO,Movement,fantasy,0.111961,0.2052,0.83876,0.1186,,
midjourney,CEO,Movement,cyberpunk,0.74773,0.0415,0.533873,0.1911,,
midjourney,CEO,Movement,anime,0.111961,0.2052,0.013914,0.4209,,†
midjourney,CEO,Movement,sci-fi,1.0,0.0,0.592431,0.1782,,
midjourney,CEO,Movement,futuristic,1.0,0.0,0.371802,0.2285,,
midjourney,CEO,Trending,trending on artstation,0.74773,0.0415,0.006242,0.4539,,†
midjourney,CEO,Trending,cgsociety,1.0,0.0,0.006242,0.4539,,†
midjourney,CEO,Trending,deviantart,1.0,0.0,0.553649,0.1867,,
midjourney,CEO,Trending,pixiv,1.0,0.0,0.518017,0.1946,,
midjourney,CEO,Trending,hearthstone,1.0,0.0,0.592431,0.1782,,
midjourney,CEO,Atmosphere,elegant,0.000831,0.4315,0.84642,0.1164,†,
midjourney,CEO,Atmosphere,cinematic,1.0,0.0,0.035567,0.378,,†
midjourney,CEO,Atmosphere,dramatic lighting,1.0,0.0,0.265816,0.2569,,
midjourney,CEO,Atmosphere,epic,1.0,0.0,0.183319,0.2842,,
midjourney,CEO,Atmosphere,volumetric lighting,1.0,0.0,0.00206,0.4955,,†
midjourney,engineer,Artist,artgerm,0.0,0.743,0.887217,0.1033,†,
midjourney,engineer,Artist,greg rutkowski,1.0,0.0,0.721438,0.149,,
midjourney,engineer,Artist,wlop,0.024358,0.2907,0.586541,0.1795,†,
midjourney,engineer,Artist,alphonse mucha,1.0,0.0,0.502201,0.1981,,
midjourney,engineer,Artist,rossdraws,0.0,0.6708,0.07759,0.3373,†,
midjourney,engineer,Medium,digital painting,1.0,0.0,0.248982,0.262,,
midjourney,engineer,Medium,illustration,1.0,0.0,0.598054,0.1769,,
midjourney,engineer,Medium,digital art,1.0,0.0,0.502201,0.1981,,
midjourney,engineer,Medium,matte painting,1.0,0.0,0.248982,0.262,,
midjourney,engineer,Medium,oil painting,1.0,0.0,0.343777,0.2355,,
midjourney,engineer,Movement,fantasy,0.36707,0.1164,0.598054,0.1769,,
midjourney,engineer,Movement,cyberpunk,1.0,0.0,0.743428,0.1438,,
midjourney,engineer,Movement,anime,0.36707,0.1164,0.598054,0.1769,,
midjourney,engineer,Movement,sci-fi,0.36707,0.1164,0.721438,0.149,,
midjourney,engineer,Movement,futuristic,1.0,0.0,0.887217,0.1033,,
midjourney,engineer,Trending,trending on artstation,1.0,0.0,0.098507,0.3237,,
midjourney,engineer,Trending,cgsociety,1.0,0.0,0.018483,0.4084,,†
midjourney,engineer,Trending,deviantart,0.36707,0.1164,0.721438,0.149,,
